episode,reward,length,success,epsilon,loss
48,-99.0,100,1,0.23893045520948622,0.1716893355920911
49,-90.0,91,1,0.23176254155320164,0.12304598532084908
50,-86.0,87,1,0.2248096653066056,0.18318752261499563
51,-97.0,98,1,0.21806537534740741,0.14226738402467906
52,-119.0,120,1,0.2115234140869852,0.15249013009791573
53,-214.0,215,1,0.20517771166437562,0.1215377596921699
54,-149.0,150,1,0.19902238031444436,0.16637024422486624
55,-143.0,144,1,0.19305170890501103,0.11747098746450825
56,-109.0,110,1,0.1872601576378607,0.16862264843657612
57,-111.0,112,1,0.18164235290872485,0.16496164805721492
58,-125.0,126,1,0.1761930823214631,0.15401667362404248
59,-103.0,104,1,0.17090728985181922,0.15511910110497132
60,-81.0,82,1,0.16578007115626464,0.16332878186026725
61,-108.0,109,1,0.1608066690215767,0.15231676770527974
62,-100.0,101,1,0.1559824689509294,0.1620835177139333
63,-86.0,87,1,0.1513029948824015,0.18077857349196386
64,-82.0,83,1,0.14676390503592945,0.18353596866041064
65,-90.0,91,1,0.14236098788485158,0.1723688438248176
66,-88.0,89,1,0.13809015824830603,0.1542790632464745
67,-88.0,89,1,0.13394745350085685,0.16686470429883915
68,-96.0,97,1,0.12992902989583113,0.1780166917470927
69,-108.0,109,1,0.1260311589989562,0.20330506800716625
70,-88.0,89,1,0.12225022422898751,0.20244434362884317
71,-95.0,96,1,0.11858271750211788,0.20419139263685793
72,-75.0,76,1,0.11502523597705434,0.24593020402091115
73,-119.0,120,1,0.1115744788977427,0.1615679102173696
74,-146.0,147,1,0.10822724453081042,0.17054864249768711
75,-117.0,118,1,0.10498042719488611,0.1653973717968595
76,-72.0,73,1,0.10183101437903952,0.2500627716518428
77,-106.0,107,1,0.09877608394766833,0.2142223451008028
78,-105.0,106,1,0.09581280142923829,0.2372462364300242
79,-86.0,87,1,0.09293841738636113,0.2071997719420784
80,-137.0,138,1,0.09015026486477029,0.21926779802078786
81,-84.0,85,1,0.08744575691882718,0.2125434969935347
82,-87.0,88,1,0.08482238421126237,0.174931546038186
83,-96.0,97,1,0.0822777126849245,0.21278153763143057
84,-73.0,74,1,0.07980938130437676,0.23559138538768967
85,-106.0,107,1,0.07741509986524546,0.17669585646591454
86,-91.0,92,1,0.0750926468692881,0.17856017858518855
87,-85.0,86,1,0.07283986746320946,0.23549327208812154
88,-85.0,86,1,0.07065467143931317,0.2160150469822246
89,-85.0,86,1,0.06853503129613378,0.24294524256486533
90,-75.0,76,1,0.06647898035724976,0.2618016589089836
91,-103.0,104,1,0.06448461094653227,0.22341562735919768
92,-77.0,78,1,0.06255007261813629,0.2576543580358609
93,-102.0,103,1,0.0606735704395922,0.2530553731705668
94,-75.0,76,1,0.05885336332640443,0.1970027889321117
95,-76.0,77,1,0.057087762426612294,0.2572005066246568
96,-85.0,86,1,0.05537512955381393,0.21823062022151643
97,-75.0,76,1,0.053713875667199505,0.26237654921255615
98,-87.0,88,1,0.05210245939718352,0.25493567155420105
99,-83.0,84,1,0.05053938561526801,0.2241126156101624
100,-107.0,108,1,0.049023204046809966,0.2443219561267782
101,-124.0,125,1,0.04755250792540567,0.24487921503186225
102,-223.0,224,1,0.0461259326876435,0.2554279932103652
103,-76.0,77,1,0.04474215470701419,0.2779745299901281
104,-104.0,105,1,0.04339989006580376,0.23602257915550753
105,-168.0,169,1,0.042097893363829644,0.2941369273694309
106,-71.0,72,1,0.040834956562914755,0.25261502609484726
107,-88.0,89,1,0.03960990786602731,0.22621417974822977
108,-83.0,84,1,0.03842161063004649,0.27927631370368455
109,-105.0,106,1,0.03726896231114509,0.30262562066738335
110,-109.0,110,1,0.03615089344181074,0.2407445548271591
