episode,reward,length,success,epsilon,loss
48,-91.0,92,1,0.23893045520948622,0.08769317724458549
49,-100.0,101,1,0.23176254155320164,0.12805522112452453
50,-155.0,156,1,0.2248096653066056,0.16120854215935254
51,-193.0,194,1,0.21806537534740741,0.13930088077604616
52,-122.0,123,1,0.2115234140869852,0.13395249649761168
53,-131.0,132,1,0.20517771166437562,0.13600765441713686
54,-120.0,121,1,0.19902238031444436,0.16712338231072937
55,-93.0,94,1,0.19305170890501103,0.10932173333229854
56,-88.0,89,1,0.1872601576378607,0.13714372364573935
57,-100.0,101,1,0.18164235290872485,0.13770489601215513
58,-130.0,131,1,0.1761930823214631,0.14759757064055395
59,-84.0,85,1,0.17090728985181922,0.16898172000313508
60,-112.0,113,1,0.16578007115626464,0.15653152688843222
61,-109.0,110,1,0.1608066690215767,0.128994771507992
62,-94.0,95,1,0.1559824689509294,0.13566558798284908
63,-71.0,72,1,0.1513029948824015,0.14110451504691607
64,-114.0,115,1,0.14676390503592945,0.15638037843062827
65,-98.0,99,1,0.14236098788485158,0.18797342533791306
66,-158.0,159,1,0.13809015824830603,0.15895457577499203
67,-215.0,216,1,0.13394745350085685,0.1610750451390804
68,-147.0,148,1,0.12992902989583113,0.17693120132930376
69,-110.0,111,1,0.1260311589989562,0.17444205931849308
70,-90.0,91,1,0.12225022422898751,0.2117671226816518
71,-77.0,78,1,0.11858271750211788,0.1710064151109411
72,-62.0,63,1,0.11502523597705434,0.18185582541165843
73,-85.0,86,1,0.1115744788977427,0.17578057078428047
74,-84.0,85,1,0.10822724453081042,0.15954786462380605
75,-93.0,94,1,0.10498042719488611,0.189108785598519
76,-95.0,96,1,0.10183101437903952,0.1807344825938344
77,-100.0,101,1,0.09877608394766833,0.1957212224381395
78,-111.0,112,1,0.09581280142923829,0.22494136703400208
79,-92.0,93,1,0.09293841738636113,0.23859812619705353
80,-90.0,91,1,0.09015026486477029,0.2078113554270713
81,-83.0,84,1,0.08744575691882718,0.20174598322427345
82,-94.0,95,1,0.08482238421126237,0.2032358763445365
83,-99.0,100,1,0.0822777126849245,0.1796718081831932
84,-102.0,103,1,0.07980938130437676,0.23149607388429272
85,-79.0,80,1,0.07741509986524546,0.18257259549573063
86,-84.0,85,1,0.0750926468692881,0.18092670125119825
87,-96.0,97,1,0.07283986746320946,0.1781124746830193
88,-69.0,70,1,0.07065467143931317,0.2204230649130685
89,-81.0,82,1,0.06853503129613378,0.20176032755705642
90,-123.0,124,1,0.06647898035724976,0.2215826307243157
91,-86.0,87,1,0.06448461094653227,0.2566021176204942
92,-134.0,135,1,0.06255007261813629,0.23981565657865117
93,-83.0,84,1,0.0606735704395922,0.23235710763505527
94,-109.0,110,1,0.05885336332640443,0.2567496905272657
95,-89.0,90,1,0.057087762426612294,0.23903804945035112
96,-78.0,79,1,0.05537512955381393,0.3594158995142089
97,-109.0,110,1,0.053713875667199505,0.24862746476111086
98,-93.0,94,1,0.05210245939718352,0.23161508632387887
99,-92.0,93,1,0.05053938561526801,0.22100618543724218
100,-102.0,103,1,0.049023204046809966,0.2664728187096929
101,-106.0,107,1,0.04755250792540567,0.23656377965741068
102,-102.0,103,1,0.0461259326876435,0.27151915300818324
103,-111.0,112,1,0.04474215470701419,0.25212219044832246
104,-98.0,99,1,0.04339989006580376,0.2638849426211432
105,-86.0,87,1,0.042097893363829644,0.26749690671333637
106,-80.0,81,1,0.040834956562914755,0.2536076140578514
107,-78.0,79,1,0.03960990786602731,0.27308763042563877
108,-76.0,77,1,0.03842161063004649,0.23455730653912216
109,-125.0,126,1,0.03726896231114509,0.3102402009720367
110,-83.0,84,1,0.03615089344181074,0.24766123729447523
